,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,186,125,237,,,,0.305,0.321,700,0.0008,0.0008,3.5,0.0001,0.0001,,
B0_G191,420,430,419,,DP173,,0.305,0.321,370.6662557,0.0008,0.0008,1.853331279,0.0001,0.0001,,
B0_G127,400,408,401,,200323,,0.305,0.321,142.8429835,0.0008,0.0008,0.714214918,0.0001,0.0001,,
B0_G63,387,391,392,,Special OC,,0.305,0.321,27.31460322,0.0008,0.0008,0.136573016,0.0001,0.0001,,
B0_G31,395,391,402,,G2G X,,0.305,0.321,6.86,0.0008,0.0008,0.0343,0.0001,0.0001,,
B0_G15,416,411,421,,G3_OC,,0.305,0.321,1.54,0.0015,0.0015,0.0077,0.0001,0.0001,,
B0_G7,385,390,393,,,,0.305,0.321,0.35,0.0015,0.0015,0.0035,0.0001,0.0001,,
B0_G4,303,371,337,,,,0.305,0.321,0.112,0.002,0.002,0.00112,0.0001,0.0001,,
B1_G255,182,125,232,,,,0.305,0.321,500,0.0008,0.0008,2.5,0.0001,0.0001,,
B1_G191,432,441,433,,,,0.305,0.321,264.7616112,0.0008,0.0008,1.323808056,0.0001,0.0001,,
B1_G127,405,412,406,,,,0.305,0.321,102.0307025,0.0008,0.0008,0.510153513,0.0001,0.0001,,
B1_G63,388,389,393,,,,0.305,0.321,19.51043087,0.0008,0.0008,0.097552154,0.0001,0.0001,,
B1_G31,395,390,402,,,,0.305,0.321,4.9,0.0015,0.0015,0.0245,0.0001,0.0001,,
B1_G15,415,411,421,,,,0.305,0.321,1.1,0.0015,0.0015,0.0055,0.0001,0.0001,,
B1_G7,384,393,393,,,,0.305,0.321,0.25,0.002,0.002,0.0025,0.0001,0.0001,,
B1_G3,302,386,343,,,,0.305,0.321,0.043678786,0.003,0.003,0.000436788,0.0001,0.0001,,
B2_G255,185,125,237,,,,0.305,0.321,200,0.0008,0.0008,1,0.0001,0.0001,,
B2_G191,433,0.0,435,,,,0.305,0.321,105.9046445,0.0008,0.0008,0.529523222,0.0001,0.0001,,
B2_G127,404,408,405,,,,0.305,0.321,40.812281,0.0008,0.0008,0.204061405,0.0001,0.0001,,
B2_G63,384,385,390,,,,0.305,0.321,7.804172348,0.0008,0.0008,0.039020862,0.0001,0.0001,,
B2_G31,396,386,397,,,,0.305,0.321,1.96,0.0015,0.0015,0.0098,0.0001,0.0001,,
B2_G15,418,408,419,,,,0.305,0.321,0.44,0.0015,0.0015,0.0044,0.0001,0.0001,,
B2_G7,390,390,390,,,,0.305,0.321,0.1,0.0023,0.0023,0.001,0.0001,0.0001,,
B2_G4,307,389,346,,,,0.305,0.321,0.032,0.003,0.003,0.000384,0.0001,0.0001,,
B3_G255,177,125,229,,,,0.305,0.321,90,0.0008,0.0008,0.45,0.0001,0.0001,,
B3_G191,445,448,447,,,,0.305,0.321,47.65709002,0.0008,0.0008,0.23828545,0.0001,0.0001,,
B3_G127,417,417,420,,,,0.305,0.321,18.36552645,0.0008,0.0008,0.091827632,0.0001,0.0001,,
B3_G63,389,384,394,,,,0.305,0.321,3.511877557,0.0015,0.0015,0.017559388,0.0001,0.0001,,
B3_G31,397,386,396,,,,0.305,0.321,0.882,0.0015,0.0015,0.00441,0.0001,0.0001,,
B3_G15,418,414,418,,,,0.305,0.321,0.198,0.002,0.002,0.00198,0.0001,0.0001,,
B3_G7,386,415,398,,,,0.305,0.321,0.045,0.003,0.003,0.00045,0.0001,0.0001,,
B3_G4,284,442,376,,,,0.305,0.321,0.0144,0.005,0.005,0.000288,0.0001,0.0001,,
B4_G255,176,125,229,,,,0.305,0.321,60,0.0008,0.0008,0.3,0.0001,0.0001,,
B4_G191,447,449,449,,,,0.305,0.321,31.77139335,0.0008,0.0008,0.158856967,0.0001,0.0001,,
B4_G127,420,418,424,,,,0.305,0.321,12.2436843,0.0008,0.0008,0.061218422,0.0001,0.0001,,
B4_G63,391,383,395,,,,0.305,0.321,2.341251704,0.0015,0.0015,0.011706259,0.0001,0.0001,,
B4_G31,398,387,395,,,,0.305,0.321,0.588,0.0015,0.0015,0.00294,0.0001,0.0001,,
B4_G15,415,419,418,,,,0.305,0.321,0.132,0.002,0.002,0.00132,0.0001,0.0001,,
B4_G7,375,435,405,,,,0.305,0.321,0.03,0.003,0.003,0.00036,0.0001,0.0001,,
B4_G6,281,464,405,,,,0.305,0.321,0.022526536,0.003,0.003,0.000270318,0.0001,0.0001,,
B5_G255,176,125,231,,,,0.305,0.321,40,0.0008,0.0008,0.2,0.0001,0.0001,,
B5_G191,448,448,450,,,,0.305,0.321,21.1809289,0.0008,0.0008,0.105904644,0.0001,0.0001,,
B5_G127,421,418,425,,,,0.305,0.321,8.1624562,0.0008,0.0008,0.040812281,0.0001,0.0001,,
B5_G63,389,381,393,,,,0.305,0.321,1.56083447,0.0015,0.0015,0.007804172,0.0001,0.0001,,
B5_G31,392,385,393,,,,0.305,0.321,0.392,0.0015,0.0015,0.00392,0.0001,0.0001,,
B5_G15,385,423,419,,,,0.305,0.321,0.088,0.0023,0.0023,0.00088,0.0001,0.0001,,
B5_G7,257,451,413,,,,0.305,0.321,0.02,0.005,0.005,0.0004,0.0001,0.0001,,
B5_G4,281,464,405,,,,0.305,0.321,0.0064,0.005,0.005,0.000128,0.0001,0.0001,,
B6_G255,177,125,232,,,,0.305,0.321,20,0.0008,0.0008,0.1,0.0001,0.0001,,
B6_G191,445,447,449,,,,0.305,0.321,10.59046445,0.0008,0.0008,0.052952322,0.0001,0.0001,,
B6_G127,421,418,425,,,,0.305,0.321,4.0812281,0.0015,0.0015,0.020406141,0.0001,0.0001,,
B6_G63,388,383,393,,,,0.305,0.321,0.780417235,0.0015,0.0015,0.003902086,0.0001,0.0001,,
B6_G31,389,394,396,,,,0.305,0.321,0.196,0.002,0.002,0.00196,0.0001,0.0001,,
B6_G15,374,437,426,,,,0.305,0.321,0.044,0.003,0.003,0.00044,0.0001,0.0001,,
B6_G10,253,466,430,,,,0.305,0.321,0.021255766,0.003,0.003,0.000255069,0.0001,0.0001,,
B6_G4,281,464,405,,,,0.305,0.321,0.0032,0.005,0.005,0.000064,0.0001,0.0001,,
B7_G255,176,125,233,,,,0.305,0.321,10,0.0008,0.0008,0.05,0.0001,0.0001,,
B7_G191,449,448,452,,,,0.305,0.321,5.295232225,0.0008,0.0008,0.026476161,0.0001,0.0001,,
