,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B4_G5,356,467,453,,,,0.27,0.341,0.018863715,0.0081,0.0081,0.001527961,0.0003,0.0003,,
B5_G255,317,260,420,,,,0.305,0.321,71.81089679,0.00108,0.00108,0.290834132,0.0003,0.0003,,
B5_G191,458,448,450,,,,0.305,0.321,38.02553747,0.00108,0.00108,0.154003427,0.0003,0.0003,,
B5_G127,438,422,429,,,,0.305,0.321,15.49423503,0.00108,0.00108,0.062751652,0.0003,0.0003,,
B5_G95,467,456,460,,,,0.305,0.321,8.180764391,0.00108,0.00108,0.033132096,0.0003,0.0003,,
B5_G63,413,384,395,,,,0.305,0.321,3.31398976,0.00297,0.00297,0.013421659,0.0003,0.0003,,
B5_G47,467,451,456,,,,0.305,0.321,1.739471193,0.00297,0.00297,0.007044858,0.0003,0.0003,,
B5_G31,404,371,385,,,,0.305,0.321,0.69630206,0.00297,0.00297,0.002820023,0.0003,0.0003,,
B5_G23,457,446,450,,,,0.305,0.321,0.361079799,0.00297,0.00297,0.004874577,0.0003,0.0003,,
B5_G15,377,370,386,,,,0.299,0.321,0.140994679,0.00297,0.00297,0.001903428,0.0003,0.0003,,
B5_G7,332,418,427,,,,0.28,0.331,0.026364385,0.00405,0.00405,0.000711839,0.0003,0.0003,,
B5_G3,350,463,460,,,,0.27,0.341,0.004087603,1,1,900,0.0003,0.0003,,
B6_G255,318,260,421,,,,0.305,0.321,48.78264701,0.00108,0.00108,0.197569721,0.0003,0.0003,,
B6_G191,457,448,451,,,,0.305,0.321,25.83154444,0.00108,0.00108,0.104617755,0.0003,0.0003,,
B6_G127,438,421,428,,,,0.305,0.321,10.52555854,0.00108,0.00108,0.042628512,0.0003,0.0003,,
B6_G95,467,453,460,,,,0.305,0.321,5.557364682,0.001485,0.001485,0.022507327,0.0003,0.0003,,
B5_G63,436,411,424,,,,0.305,0.321,3.31398976,0.00297,0.00297,0.013421659,0.0003,0.0003,,
B6_G47,438,413,424,,,,0.305,0.321,1.181659232,0.00297,0.00297,0.00478572,0.0003,0.0003,,
B6_G31,378,337,357,,,,0.305,0.321,0.47301258,0.00297,0.00297,0.00638567,0.0003,0.0003,,
B6_G23,452,442,453,,,,0.299,0.321,0.245289074,0.00297,0.00297,0.003311402,0.0003,0.0003,,
B6_G15,365,365,391,,,,0.29,0.326,0.09578064,0.003375,0.003375,0.001293039,0.0003,0.0003,,
B6_G8,323,409,435,,,,0.28,0.331,0.024025638,0.00405,0.00405,0.000648692,0.0003,0.0003,,
B6_G4,350,463,460,,,,0.27,0.341,0.005228883,1,1,900,0.0003,0.0003,,
B7_G255,317,260,423,,,,0.305,0.321,24.39132351,0.00108,0.00108,0.09878486,0.0003,0.0003,,
B7_G191,458,446,451,,,,0.305,0.321,12.91577222,0.00108,0.00108,0.052308878,0.0003,0.0003,,
B7_G127,438,418,430,,,,0.305,0.321,5.262779272,0.001485,0.001485,0.021314256,0.0003,0.0003,,
B7_G95,467,450,460,,,,0.305,0.321,2.778682341,0.00297,0.00297,0.011253664,0.0003,0.0003,,
B7_G63,406,371,393,,,,0.305,0.321,1.125631345,0.00297,0.00297,0.004558807,0.0003,0.0003,,
B7_G47,463,442,454,,,,0.305,0.321,0.590829616,0.00297,0.00297,0.00239286,0.0003,0.0003,,
B7_G31,393,353,384,,,,0.299,0.321,0.23650629,0.00297,0.00297,0.003192835,0.0003,0.0003,,
B7_G23,451,437,456,,,,0.299,0.321,0.122644537,0.00297,0.00297,0.001655701,0.0003,0.0003,,
B7_G15,353,362,405,,,,0.29,0.326,0.04789032,0.00405,0.00405,0.00064652,0.0003,0.0003,,
B7_G11,297,417,453,,,,0.28,0.331,0.024205323,0.00405,0.00405,0.000653544,0.0003,0.0003,,
B7_G4,350,463,460,,,,0.27,0.341,0.002614442,1,1,900,0.0003,0.0003,,
B8_G255,318,260,427,,,,0.305,0.321,12.19566175,0.00108,0.00108,0.04939243,0.0003,0.0003,,
B8_G191,458,445,453,,,,0.305,0.321,6.457886111,0.001485,0.001485,0.026154438,0.0003,0.0003,,
