,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B4_G5,411,416,411,,,,0.27,0.341,0.018863715,0.018,0.018,0.001697734,0.0003,0.0003,,
B5_G255,200,200,200,,,,0.305,0.321,71.81089679,0.0024,0.0024,0.538581726,0.0003,0.0003,,
B5_G191,427,434,426,,DP213,,0.305,0.321,38.02553747,0.0024,0.0024,0.285191531,0.0003,0.0003,,
B5_G127,411,416,411,,,,0.305,0.321,15.49423503,0.0024,0.0024,0.116206763,0.0003,0.0003,,
B5_G95,427,434,426,,,,0.305,0.321,8.180764391,0.0024,0.0024,0.061355733,0.0003,0.0003,,
B5_G63,411,416,411,,,,0.305,0.321,3.31398976,0.0066,0.0066,0.024854923,0.0003,0.0003,,
B5_G47,427,434,426,,,,0.305,0.321,1.739471193,0.0066,0.0066,0.013046034,0.0003,0.0003,,
B5_G31,411,416,411,,,,0.305,0.321,0.69630206,0.0066,0.0066,0.005222265,0.0003,0.0003,,
B5_G23,427,434,426,,,,0.305,0.321,0.361079799,0.0066,0.0066,0.005416197,0.0003,0.0003,,
B5_G15,411,416,411,,,,0.299,0.321,0.140994679,0.0066,0.0066,0.00211492,0.0003,0.0003,,
B5_G7,427,434,426,,,,0.28,0.331,0.026364385,0.009,0.009,0.000790932,0.0003,0.0003,,
B5_G3,411,416,411,,,,0.27,0.341,0.004087603,3,3,1500,0.0003,0.0003,,
B6_G255,200,200,200,,,,0.305,0.321,48.78264701,0.0024,0.0024,0.365869853,0.0003,0.0003,,
B6_G191,427,434,426,,DP213,,0.305,0.321,25.83154444,0.0024,0.0024,0.193736583,0.0003,0.0003,,
B6_G127,411,416,411,,,,0.305,0.321,10.52555854,0.0024,0.0024,0.078941689,0.0003,0.0003,,
B6_G95,427,434,426,,,,0.305,0.321,5.557364682,0.0033,0.0033,0.041680235,0.0003,0.0003,,
B5_G63,411,416,411,,,,0.305,0.321,2.25126269,0.0066,0.0066,0.01688447,0.0003,0.0003,,
B6_G47,427,434,426,,,,0.305,0.321,1.181659232,0.0066,0.0066,0.008862444,0.0003,0.0003,,
B6_G31,411,416,411,,,,0.305,0.321,0.47301258,0.0066,0.0066,0.007095189,0.0003,0.0003,,
B6_G23,427,434,426,,,,0.299,0.321,0.245289074,0.0066,0.0066,0.003679336,0.0003,0.0003,,
B6_G15,411,416,411,,,,0.29,0.326,0.09578064,0.0075,0.0075,0.00143671,0.0003,0.0003,,
