,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,169,116,209,,,,0.299,0.315,600,0.0015,0.0015,6,0.0005,0.0005,,
B0_G191,433,443,434,,DP150,,0.299,0.315,317.7139335,0.0015,0.0015,3.177139335,0.0005,0.0005,,
B0_G127,423,428,424,,,,0.299,0.315,129.4586398,0.0015,0.0015,1.294586398,0.0005,0.0005,,
B0_G63,404,405,407,,,,0.299,0.315,27.68930545,0.0015,0.0015,0.415339582,0.0005,0.0005,,
B0_G31,411,409,414,,,,0.299,0.315,5.817797221,0.0015,0.0015,0.116355944,0.0005,0.0005,,
B0_G15,413,408,412,,,,0.299,0.315,1.178049728,0.002,0.002,0.031277967,0.0005,0.0005,,
B0_G7,414,419,415,,,,0.299,0.315,0.220281762,0.002,0.002,0.015779483,0.0005,0.0005,,
B0_G4,346,426,386,,,,0.299,0.315,0.064312417,0.005,0.005,0.006296891,0.0005,0.0005,,
B1_G255,166,116,206,,,,0.299,0.315,450,0.0015,0.0015,4.5,0.0005,0.0005,,
B1_G191,438,445,438,,,,0.299,0.315,238.2854501,0.0015,0.0015,2.382854501,0.0005,0.0005,,
B1_G127,425,431,428,,,,0.299,0.315,97.09397982,0.0015,0.0015,1.456409697,0.0005,0.0005,,
B1_G63,407,407,410,,,,0.299,0.315,20.76697909,0.0015,0.0015,0.311504686,0.0005,0.0005,,
B1_G31,413,410,415,,,,0.299,0.315,4.363347916,0.002,0.002,0.087266958,0.0005,0.0005,,
B1_G15,415,410,413,,,,0.299,0.315,0.883537296,0.002,0.002,0.023458475,0.0005,0.0005,,
B1_G7,415,426,418,,,,0.299,0.315,0.165211321,0.002,0.002,0.011834612,0.0005,0.0005,,
B1_G4,362,442,402,,,,0.299,0.315,0.048234313,0.005,0.005,0.006296891,0.0005,0.0005,,
B2_G255,162,119,203,,,,0.299,0.315,165,0.0015,0.0015,1.65,0.0005,0.0005,,
B2_G191,450,453,451,,,,0.299,0.315,87.3713317,0.0015,0.0015,0.873713317,0.0005,0.0005,,
B2_G127,435,437,439,,,,0.299,0.315,35.60112594,0.0015,0.0015,0.534016889,0.0005,0.0005,,
B2_G63,414,409,415,,,,0.299,0.315,7.614559,0.0015,0.0015,0.114218385,0.0005,0.0005,,
B2_G31,417,413,416,,,,0.299,0.315,1.599894236,0.002,0.002,0.031997885,0.0005,0.0005,,
B2_G15,418,421,417,,,,0.299,0.315,0.323963675,0.002,0.002,0.008601441,0.0005,0.0005,,
B2_G7,408,451,429,,,,0.299,0.315,0.060577485,0.005,0.005,0.004339358,0.0005,0.0005,,
B2_G4,361,478,433,,,,0.299,0.315,0.017685915,0.008,0.008,0.00230886,0.0005,0.0005,,
B3_G255,161,119,202,,,,0.299,0.315,90,0.0015,0.0015,0.9,0.0005,0.0005,,
B3_G191,454,456,456,,,,0.299,0.315,47.65709002,0.0015,0.0015,0.4765709,0.0005,0.0005,,
B3_G127,438,438,441,,,,0.299,0.315,19.41879596,0.0015,0.0015,0.291281939,0.0005,0.0005,,
B3_G63,416,410,417,,,,0.299,0.315,4.153395818,0.0015,0.0015,0.062300937,0.0005,0.0005,,
B3_G31,418,414,416,,,,0.299,0.315,0.872669583,0.002,0.002,0.017453392,0.0005,0.0005,,
B3_G15,415,430,420,,,,0.299,0.315,0.176707459,0.002,0.002,0.004691695,0.0005,0.0005,,
B3_G7,405,469,442,,,,0.299,0.315,0.033042264,0.005,0.005,0.002366922,0.0005,0.0005,,
B3_G4,361,478,433,,,,0.299,0.315,0.009646863,0.015,0.015,0.001259378,0.0005,0.0005,,
B4_G255,162,119,204,,,,0.299,0.315,30,0.0015,0.0015,0.3,0.0005,0.0005,,
B4_G191,453,456,456,,,,0.299,0.315,15.88569667,0.0015,0.0015,0.158856967,0.0005,0.0005,,
B4_G127,438,438,441,,,,0.299,0.315,6.472931988,0.002,0.002,0.09709398,0.0005,0.0005,,
B4_G63,412,412,417,,,,0.299,0.315,1.384465273,0.002,0.002,0.020766979,0.0005,0.0005,,
B4_G31,412,424,420,,,,0.299,0.315,0.290889861,0.002,0.002,0.005817797,0.0005,0.0005,,
