,,Target,,,Limit,
Gray,X,Y,Lv,X,Y,Lv
Band2_White,0.299,0.315,450,2,2,2
Band2_Red,0.6845,0.3145,-1,0.0095,0.0095,-1
Band2_Green,0.243,0.719,-1,0.046,0.029,-1
Band2_Blue,0.143,0.0445,-1,0.004,0.0085,-1
Band2_Black,-1,-1,-1,-1,-1,0.005
Band1_255,0.299,0.315,600,0.01,0.01,30
Band2_255,0.299,0.315,450,0.01,0.01,22.5
Band3_255,0.299,0.315,165,0.01,0.01,15
Band4_255,0.299,0.315,90,0.01,0.01,10
Band5_255,0.299,0.315,30,0.01,0.01,2.25
Band6_255,0.299,0.315,8,0.01,0.01,0.8
Band7_255,0.299,0.315,2,0.01,0.01,0.2
Band8_255,0.5,0.5,100,1,1,1000
Band9_255,0.5,0.5,100,1,1,1000
AOD1_255,0.299,0.315,60,0.01,0.01,6
AOD2_255,0.299,0.315,40,0.01,0.01,4
AOD3_255,0.299,0.315,2,0.01,0.01,0.2
