,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B5_G60,457,459,461,,,,0.2988,0.3158,1.364735747,0.0015,0.0015,0.009658794,0.0005,0.0005,,
B5_G38,449,457,453,,,,0.2988,0.3158,0.535050627,0.0015,0.0015,0.003106568,0.0005,0.0005,,
B5_G23,454,471,459,,,,0.2988,0.3158,0.215586313,0.0015,0.0015,0.002429553,0.0005,0.0005,,
B5_G13,442,481,460,,,,0.2988,0.3158,0.06887351,0.005,0.005,0.002047345,0.0005,0.0005,,
B5_G6,446,496,474,,,,0.2988,0.3158,0.017696503,0.008,0.008,0.001345965,0.0005,0.0005,,
B5_G4,465,496,480,,,,0.2988,0.3158,0.008026191,0.008,0.008,0.00116789,0.0005,0.0005,,
B6_G255,218,162,263,,,,0.2988,0.3158,13,0.0015,0.0015,0.090000001,0.0005,0.0005,,
B6_G189,457,461,461,,,,0.2988,0.3158,6.726217777,0.0015,0.0015,0.050999999,0.0005,0.0005,,
B6_G134,459,462,462,,,,0.2988,0.3158,3.25954725,0.0015,0.0015,0.025176861,0.0005,0.0005,,
B6_G91,456,460,461,,,,0.2988,0.3158,1.493467916,0.0015,0.0015,0.010825086,0.0005,0.0005,,
B6_G60,457,464,462,,,,0.2988,0.3158,0.669493008,0.0015,0.0015,0.004024498,0.0005,0.0005,,
B6_G38,449,466,456,,,,0.2988,0.3158,0.262477666,0.0015,0.0015,0.003106568,0.0005,0.0005,,
B6_G23,455,484,466,,,,0.2988,0.3158,0.105759323,0.0015,0.0015,0.002429553,0.0005,0.0005,,
B6_G13,455,493,476,,,,0.2988,0.3158,0.039208438,0.008,0.008,0.001764254,0.0005,0.0005,,
B6_G6,446,496,474,,,,0.2988,0.3158,0.008681303,0.008,0.008,0.001345965,0.0005,0.0005,,
B6_G4,465,496,480,,,,0.2988,0.3158,0.003937377,0.008,0.008,0.00116789,0.0005,0.0005,,
B7_G255,216,162,263,,,,0.2988,0.3158,5,0.0015,0.0015,0.04,0.0005,0.0005,,
B7_G189,458,463,463,,,,0.2988,0.3158,2.587006837,0.0015,0.0015,0.022999999,0.0005,0.0005,,
B7_G134,460,464,464,,,,0.2988,0.3158,1.253672019,0.0015,0.0015,0.014525112,0.0005,0.0005,,
B7_G91,457,466,463,,,,0.2988,0.3158,0.574410737,0.0015,0.0015,0.009020905,0.0005,0.0005,,
B7_G60,457,473,465,,,,0.2988,0.3158,0.257497311,0.0015,0.0015,0.004829397,0.0005,0.0005,,
B7_G38,450,481,464,,,,0.2988,0.3158,0.100952948,0.0015,0.0015,0.003106568,0.0005,0.0005,,
B7_G23,460,494,478,,,,0.2988,0.3158,0.040676663,0.005,0.005,0.001943642,0.0005,0.0005,,
B7_G13,463,499,489,,,,0.2988,0.3158,0.015080168,0.008,0.008,0.001058552,0.0005,0.0005,,
B7_G6,446,496,474,,,,0.2988,0.3158,0.003338963,0.008,0.008,0.000807579,0.0005,0.0005,,
B7_G4,465,496,480,,,,0.2988,0.3158,0.001514376,0.008,0.008,0.000700734,0.0005,0.0005,,
B8_G255,211,162,262,,,,0.2988,0.3158,2,0.0015,0.0015,0.02,0.0005,0.0005,,
B8_G189,466,471,472,,,,0.2988,0.3158,1.034802735,0.0015,0.0015,0.010360412,0.0005,0.0005,,
B8_G134,456,466,462,,,,0.2988,0.3158,0.485592707,0.0015,0.0015,0.007501471,0.0005,0.0005,,
B8_G91,458,476,467,,,,0.2988,0.3158,0.207268193,0.0015,0.0015,0.004882604,0.0005,0.0005,,
B8_G60,459,485,471,,,,0.2988,0.3158,0.082903783,0.0015,0.0015,0.002802944,0.0005,0.0005,,
B8_G38,457,493,480,,,,0.2988,0.3158,0.030350476,0.005,0.005,0.001930153,0.0005,0.0005,,
B8_G23,468,500,489,,,,0.2988,0.3158,0.010056407,0.01,0.01,0.001180545,0.0005,0.0005,,
B8_G13,463,499,489,,,,0.2988,0.3158,0.002866269,0.01,0.01,0.000502994,0.0005,0.0005,,
B8_G6,446,496,474,,,,0.2988,0.3158,0.000523088,0.01,0.01,0.000316292,0.0005,0.0005,,
B8_G4,465,496,480,,,,0.2988,0.3158,0.000214375,0.01,0.01,0,0.0005,0.0005,,
A0_G255,135,98,168,,,,0.2988,0.3158,60,0.002,0.002,0.6,0.0005,0.0005,,
A0_G189,467,467,468,,,,0.2988,0.3158,31.04408205,0.002,0.002,0.31044082,0.0005,0.0005,,
A0_G134,467,466,469,,,,0.2988,0.3158,14.5677812,0.002,0.002,0.145677812,0.0005,0.0005,,
A0_G91,464,464,465,,,,0.2988,0.3158,6.218045799,0.002,0.002,0.062180458,0.0005,0.0005,,
A0_G60,464,462,463,,,,0.2988,0.3158,2.487113497,0.002,0.002,0.024871135,0.0005,0.0005,,
A0_G38,462,460,460,,,,0.2988,0.3158,0.91051429,0.002,0.002,0.018210286,0.0005,0.0005,,
A0_G23,459,458,455,,,,0.2988,0.3158,0.301692207,0.003,0.003,0.006033844,0.0005,0.0005,,
A0_G13,452,470,456,,,,0.2988,0.3158,0.085988075,0.01,0.01,0.005,0.0005,0.0005,,
A0_G6,297,497,455,,,,0.2988,0.3158,0.015692625,1,1,0.005,0.0005,0.0005,,
A0_G4,478,500,483,,,,0.2988,0.3158,0.006431242,1,1,0.005,0.0005,0.0005,,
A1_G255,135,98,168,,,,0.2988,0.3158,40,0.002,0.002,0.4,0.0005,0.0005,,
A1_G189,400,400,400,,,,0.2988,0.3158,20.6960547,0.002,0.002,0.206960547,0.0005,0.0005,,
A1_G134,473,474,472,,,,0.2988,0.3158,9.71185413,0.002,0.002,0.097118541,0.0005,0.0005,,
A1_G91,471,472,471,,,,0.2988,0.3158,4.145363866,0.002,0.002,0.041453639,0.0005,0.0005,,
A1_G60,470,471,470,,,,0.2988,0.3158,1.658075664,0.002,0.002,0.016580757,0.0005,0.0005,,
A1_G38,467,471,469,,,,0.2988,0.3158,0.607009526,0.002,0.002,0.012140191,0.0005,0.0005,,
A1_G23,457,472,469,,,,0.2988,0.3158,0.201128138,0.003,0.003,0.004022563,0.0005,0.0005,,
A1_G13,367,475,472,,,,0.2988,0.3158,0.057325384,0.01,0.01,0.005,0.0005,0.0005,,
A1_G6,194,492,448,,,,0.2988,0.3158,0.01046175,1,1,0.005,0.0005,0.0005,,
A1_G4,112,410,471,,,,0.2988,0.3158,0.004287494,1,1,0.005000001,0.0005,0.0005,,
A2_G255,253,225,318,,,,0.2988,0.3158,2,0.002,0.002,0.02,0.0005,0.0005,,
A2_G189,479,481,480,,,,0.2988,0.3158,1.034802735,0.002,0.002,0.010348027,0.0005,0.0005,,
A2_G134,476,481,478,,,,0.2988,0.3158,0.485592707,0.003,0.003,0.004855927,0.0005,0.0005,,
A2_G91,469,481,477,,,,0.2988,0.3158,0.207268193,0.003,0.003,0.005,0.0005,0.0005,,
A2_G60,449,484,480,,,,0.2988,0.3158,0.082903783,0.004,0.004,0.005,0.0005,0.0005,,
A2_G38,392,491,485,,,,0.2988,0.3158,0.030350476,1,1,0.005,0.0005,0.0005,,
A2_G23,435,499,465,,,,0.2988,0.3158,0.010056407,1,1,0.005,0.0005,0.0005,,
A2_G13,367,475,472,,,,0.2988,0.3158,0.002866269,1,1,0.005,0.0005,0.0005,,
A2_G6,194,492,448,,,,0.2988,0.3158,0.000523088,1,1,0.004999995,0.0005,0.0005,,
A2_G4,112,410,471,,,,0.2988,0.3158,0.000214375,1,1,0.004999994,0.0005,0.0005,,
