,,Target,,,Limit,
Gray,X,Y,Lv,X,Y,Lv
Band2_White,0.2988,0.3158,450,1,1,1
Band2_Red,0.6845,0.3145,-1,0.0095,0.0095,-1
Band2_Green,0.243,0.719,-1,0.046,0.029,-1
Band2_Blue,0.134,0.056,-1,0.035,0.035,-1
Band2_Black,-1,-1,-1,-1,-1,0.005
Band1_255,0.2988,0.3158,600,0.005,0.005,30
Band2_255,0.2988,0.3158,450,0.005,0.005,22.5
Band3_255,0.2988,0.3158,165,0.005,0.005,8.25
Band4_255,0.2988,0.3158,113,0.005,0.005,5.65
Band5_255,0.2988,0.3158,39,0.01,0.01,1.95
Band6_255,0.2988,0.3158,10,0.01,0.01,0.5
Band7_255,0.2988,0.3158,2,0.01,0.01,0.1
Band8_255,0.5,0.5,100,1,1,1000
Band9_255,0.5,0.5,100,1,1,1000
AOD1_255,0.2988,0.3158,60,0.04,0.04,12
AOD2_255,0.2988,0.3158,40,0.04,0.04,8
AOD3_255,0.2988,0.3158,2,0.04,0.04,0.5
