,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B5_G60,452,467,461,,,,0.3008,0.3208,0.823991394,0.002,0.002,0.020599785,0.0005,0.0005,,
B5_G38,454,480,466,,,,0.3008,0.3208,0.323049435,0.002,0.002,0.01130673,0.0005,0.0005,,
B5_G23,453,487,472,,,,0.2988,0.3158,0.130165321,0.002,0.002,0.004555786,0.0005,0.0005,,
B5_G13,442,496,484,,,,0.2988,0.3158,0.048256539,0.008,0.008,0.003377958,0.0005,0.0005,,
B5_G6,405,487,470,,,,0.2988,0.3158,0.010684681,0.008,0.008,0.0015,0.0005,0.0005,,
B5_G4,411,487,442,,,,0.2988,0.3158,0.004846002,0.01,0.01,0.0015,0.0005,0.0005,,
B6_G255,272,219,332,,,,0.3008,0.3208,7,0.0015,0.0015,0.14,0.0005,0.0005,,
B6_G189,464,469,468,,,,0.3008,0.3208,3.621809572,0.002,0.002,0.090545239,0.0005,0.0005,,
B6_G134,461,469,465,,,,0.3008,0.3208,1.755140827,0.002,0.002,0.043878521,0.0005,0.0005,,
B6_G91,455,475,464,,,,0.3008,0.3208,0.804175032,0.002,0.002,0.020104376,0.0005,0.0005,,
B6_G60,452,484,468,,,,0.3008,0.3208,0.360496235,0.002,0.002,0.012617368,0.0005,0.0005,,
B6_G38,450,493,483,,,,0.2988,0.3158,0.141334128,0.002,0.002,0.004946694,0.0005,0.0005,,
B6_G23,442,505,492,,,,0.2988,0.3158,0.056947328,0.005,0.005,0.002847366,0.0005,0.0005,,
B6_G13,442,496,484,,,,0.2988,0.3158,0.021112236,0.008,0.008,0.002111224,0.0005,0.0005,,
B6_G6,405,487,470,,,,0.2988,0.3158,0.004674548,0.01,0.01,0.0015,0.0005,0.0005,,
B6_G4,411,487,442,,,,0.2988,0.3158,0.002120126,0.01,0.01,0.0015,0.0005,0.0005,,
B7_G255,272,219,332,,,,0.3008,0.3208,2,0.002,0.002,0.05,0.0005,0.0005,,
B7_G189,464,469,468,,,,0.3008,0.3208,1.019421172,0.002,0.002,0.025485529,0.0005,0.0005,,
B7_G134,461,469,465,,,,0.3008,0.3208,0.47021923,0.002,0.002,0.016457673,0.0005,0.0005,,
B7_G91,455,475,464,,,,0.2988,0.3158,0.19686011,0.002,0.002,0.006890104,0.0005,0.0005,,
B7_G60,452,484,468,,,,0.2988,0.3158,0.079382118,0.005,0.005,0.003969106,0.0005,0.0005,,
B7_G38,450,493,483,,,,0.2988,0.3158,0.032134253,0.008,0.008,0.002249398,0.0005,0.0005,,
B7_G32,442,505,492,,,,0.2988,0.3158,0.025592374,0.008,0.008,0.002559237,0.0005,0.0005,,
B7_G13,442,496,484,,,,0.2988,0.3158,0.004096647,0.01,0.01,0.0015,0.0005,0.0005,,
B7_G6,405,487,470,,,,0.2988,0.3158,0.000820316,0.01,0.01,0.0015,0.0005,0.0005,,
B7_G4,411,487,442,,,,0.2988,0.3158,0.000214375,0.01,0.01,0.0015,0.0005,0.0005,,
B8_G255,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G189,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G134,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G91,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G60,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G38,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G23,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G13,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G6,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
B8_G4,100,100,100,,,,0.2988,0.3158,0,0,1,1,0.0005,0.0005,,
A0_G255,166,131,198,,,,0.3008,0.3208,50,0.002,0.002,1.5,0.0005,0.0005,,
A0_G189,471,471,472,,,,0.3008,0.3208,25.87006838,0.002,0.002,0.776102051,0.0005,0.0005,,
A0_G134,471,470,470,,,,0.3008,0.3208,12.13981766,0.002,0.002,0.36419453,0.0005,0.0005,,
A0_G91,467,467,467,,,,0.3008,0.3208,5.181704833,0.002,0.002,0.155451145,0.0005,0.0005,,
A0_G60,469,466,467,,,,0.3008,0.3208,2.07259458,0.002,0.002,0.062177837,0.0005,0.0005,,
A0_G38,467,463,462,,,,0.3008,0.3208,0.758761908,0.002,0.002,0.045525714,0.0005,0.0005,,
A0_G23,464,465,462,,,,0.3008,0.3208,0.251410173,0.002,0.002,0.01508461,0.0005,0.0005,,
A0_G13,459,472,463,,,,0.3008,0.3208,0.07165673,0.002,0.002,0.021497019,0.0005,0.0005,,
A0_G6,303,490,466,,,,0.3008,0.3208,0.013077188,1,1,1,0.0005,0.0005,,
A0_G4,100,100,100,,,,0.3008,0.3208,0.005359368,1,1,1,0.0005,0.0005,,
A1_G255,356,301,405,,,,0.3008,0.3208,10,0.002,0.002,0.3,0.0005,0.0005,,
A1_G189,471,472,471,,,,0.3008,0.3208,5.174013675,0.002,0.002,0.15522041,0.0005,0.0005,,
A1_G134,471,470,472,,,,0.3008,0.3208,2.427963535,0.002,0.002,0.072838906,0.0005,0.0005,,
A1_G91,468,467,467,,,,0.3008,0.3208,1.036340965,0.002,0.002,0.062180458,0.0005,0.0005,,
A1_G60,467,466,466,,,,0.3008,0.3208,0.414518915,0.002,0.002,0.024871135,0.0005,0.0005,,
A1_G38,468,465,464,,,,0.3008,0.3208,0.15175238,0.002,0.002,0.015175238,0.0005,0.0005,,
A1_G23,464,468,463,,,,0.3008,0.3208,0.050282035,0.002,0.002,0.015084611,0.0005,0.0005,,
A1_G13,453,478,467,,,,0.3008,0.3208,0.014331345,1,1,1,0.0005,0.0005,,
A1_G6,208,490,466,,,,0.3008,0.3208,0.00261544,1,1,1,0.0005,0.0005,,
A1_G4,100,100,100,,,,0.3008,0.3208,0.001071875,1,1,1,0.0005,0.0005,,
A2_G255,315,266,364,,,,0.3008,0.3208,0,0.0015,0.0015,0.02,0.0005,0.0005,,
A2_G189,479,478,477,,,,0.3008,0.3208,0,0.0015,0.0015,0.010206412,0.0005,0.0005,,
A2_G134,476,479,476,,,,0.3008,0.3208,0,0.0015,0.0015,0.00726398,0.0005,0.0005,,
A2_G91,474,479,476,,,,0.3008,0.3208,0,0.0015,0.0015,0.004637421,0.0005,0.0005,,
A2_G60,471,486,475,,,,0.3008,0.3208,0,0.0015,0.0015,0.002683878,0.0005,0.0005,,
A2_G38,405,500,492,,,,0.3008,0.3208,0,0.005,0.005,0.002043593,0.0005,0.0005,,
A2_G23,443,490,481,,,,0.3008,0.3208,0,0.01,0.01,0.001501633,0.0005,0.0005,,
A2_G13,453,478,467,,,,0.3008,0.3208,0,0.01,0.01,0.00071891,0.0005,0.0005,,
A2_G6,208,490,466,,,,0.3008,0.3208,0,0.01,0.01,0.000496015,0.0005,0.0005,,
A2_G4,100,100,100,,,,0.3008,0.3208,0,0.01,0.01,0,0.0005,0.0005,,
