,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B6_G9,370,482,467,,,,0.26,0.341,0.019671674,0.006,0.006,0.0011803,0.0003,0.0003,,
B6_G4,258,475,455,,,,0.26,0.341,0.003961202,1,1,1000,0.0003,0.0003,,
B7_G255,362,316,439,,,,0.305,0.321,12.19566175,0.00108,0.00108,0.060978309,0.0003,0.0003,,
B7_G191,457,457,458,,,,0.305,0.321,6.457886111,0.0011,0.0011,0.032289431,0.0003,0.0003,,
B7_G127,435,434,437,,,,0.305,0.321,2.631389636,0.0011,0.0011,0.013156948,0.0003,0.0003,,
B7_G63,405,401,412,,,,0.305,0.321,0.578775548,0.0011,0.0011,0.002893878,0.0003,0.0003,,
B7_G31,408,427,434,,,,0.299,0.321,0.131392817,0.0022,0.0022,0.001313928,0.0003,0.0003,,
B7_G15,376,459,447,,,,0.28,0.331,0.029197735,0.003,0.003,0.000583955,0.0003,0.0003,,
B7_G7,370,482,467,,,,0.26,0.341,0.006414708,1,1,1000,0.0003,0.0003,,
B7_G4,258,475,455,,,,0.26,0.341,0.00215222,1,1,1000,0.0003,0.0003,,
B8_G255,362,316,439,,,,0.305,0.321,8.618126613,0.00108,0.00108,0.043090633,0.0003,0.0003,,
B8_G191,459,458,460,,,,0.305,0.321,4.563498175,0.0011,0.0011,0.022817491,0.0003,0.0003,,
B8_G127,437,435,440,,,,0.305,0.321,1.859484914,0.0011,0.0011,0.009297425,0.0003,0.0003,,
B8_G63,398,403,415,,,,0.305,0.321,0.408994695,0.0011,0.0011,0.004089947,0.0003,0.0003,,
B8_G31,403,443,440,,,,0.29,0.326,0.092849405,0.0025,0.0025,0.000928494,0.0003,0.0003,,
B8_G15,391,475,464,,,,0.28,0.331,0.020632729,0.003,0.003,0.000412655,0.0003,0.0003,,
B8_G7,370,482,467,,,,0.26,0.341,0.004532986,1,1,1000,0.0003,0.0003,,
B8_G4,258,475,455,,,,0.26,0.341,0.001520877,1,1,1000,0.0003,0.0003,,
B9_G255,363,316,442,,,,0.305,0.321,5.019346173,0.00108,0.00108,0.025096731,0.0003,0.0003,,
B9_G191,461,459,463,,,,0.305,0.321,2.65786036,0.0011,0.0011,0.013289302,0.0003,0.0003,,
B9_G127,436,435,443,,,,0.305,0.321,1.082996213,0.0011,0.0011,0.005414981,0.0003,0.0003,,
B9_G63,393,415,421,,,,0.299,0.321,0.238205593,0.0022,0.0022,0.002382056,0.0003,0.0003,,
B9_G31,390,469,457,,,,0.29,0.326,0.054077101,0.0025,0.0025,0.000540771,0.0003,0.0003,,
B9_G20,401,490,484,,,,0.28,0.331,0.022177391,0.003,0.003,0.000443548,0.0003,0.0003,,
B9_G7,370,482,467,,,,0.26,0.341,0.00264009,1,1,1000,0.0003,0.0003,,
B9_G4,258,475,455,,,,0.26,0.341,0.000885785,1,1,1000,0.0003,0.0003,,
B10_G255,0,0,0,,,,0.305,0.321,2.55836043,0.0011,0.0011,0.012791802,0.0003,0.0003,,
B10_G191,0,0,0,,,,0.305,0.321,1.354711259,0.0011,0.0011,0.006773556,0.0003,0.0003,,
B10_G127,0,0,0,,,,0.305,0.321,0.552003102,0.0011,0.0011,0.002760016,0.0003,0.0003,,
B10_G63,0,0,0,,,,0.299,0.321,0.118065372,0.0022,0.0022,0.001180654,0.0003,0.0003,,
B10_G31,0,0,0,,,,0.28,0.331,0.024806704,0.003,0.003,0.000496134,0.0003,0.0003,,
B10_G25,0,0,0,,,,0.26,0.341,0.015454016,0.006,0.006,0.000927241,0.0003,0.0003,,
B10_G7,0,0,0,,,,0.26,0.341,0.000939267,1,1,1000,0.0003,0.0003,,
B10_G4,0,0,0,,,,0.26,0.341,0.000274224,1,1,1000,0.0003,0.0003,,
A0_G255,304,261,372,,,,0.305,0.321,60,0.001,0.001,0.3,0.0003,0.0003,,
A0_G191,455,454,455,,,,0.305,0.321,31.77139335,0.001,0.001,0.158856967,0.0003,0.0003,,
A0_G127,438,433,438,,,,0.305,0.321,12.94586398,0.001,0.001,0.06472932,0.0003,0.0003,,
A0_G63,410,400,408,,,,0.305,0.321,2.768930545,0.002,0.002,0.013844653,0.0003,0.0003,,
