New ,R,G,B,#1,R,G,B,#2,R,G,B,#3,R,G,B,#4,R,G,B,#5,R,G,B,#6,R,G,B,#7,R,G,B,#8,R,G,B,#9,R,G,B,#10,R,G,B
B1_G31,26.6632994756666,26.5879075438288,26.6620883617286,B1_G31,26.59277169,26.91059892,26.89708599,B1_G31,26.59277169,26.91059892,26.89708599,B1_G31,26.59277169,26.91059892,26.89708599,B1_G31,26.59277169,26.91059892,26.89708599,B1_G31,26.59277169,26.91059892,26.89708599,B1_G31,26.70622507,26.87530976,26.73145741,B1_G31,26.70622507,26.87530976,26.73145741,B1_G31,26.70622507,26.87530976,26.73145741,B1_G31,26.70622507,26.87530976,26.73145741,B1_G31,26.70622507,26.87530976,26.73145741
B1_G23,19.9069525255244,19.8878638335223,19.9000927231904,B1_G23,20.16025683,20.01735248,20.18372857,B1_G23,20.16025683,20.01735248,20.18372857,B1_G23,20.16025683,20.01735248,20.18372857,B1_G23,20.16025683,20.01735248,20.18372857,B1_G23,20.16025683,20.01735248,20.18372857,B1_G23,20.28427895,20.01222447,20.05762855,B1_G23,20.28427895,20.01222447,20.05762855,B1_G23,20.28427895,20.01222447,20.05762855,B1_G23,20.28427895,20.01222447,20.05762855,B1_G23,20.28427895,20.01222447,20.05762855
B1_G15,13.1493277949437,12.9907548617185,13.0275194765152,B1_G15,13.36963922,13.00682982,13.17752783,B1_G15,13.36963922,13.00682982,13.17752783,B1_G15,13.36963922,13.00682982,13.17752783,B1_G15,13.36963922,13.00682982,13.17752783,B1_G15,13.36963922,13.00682982,13.17752783,B1_G15,13.34341805,13.01926052,13.1243264,B1_G15,13.34341805,13.01926052,13.1243264,B1_G15,13.34341805,13.01926052,13.1243264,B1_G15,13.34341805,13.01926052,13.1243264,B1_G15,13.34341805,13.01926052,13.1243264
B1_G7,6.02660722705052,6.33662410574901,6.19447823952614,B1_G7,6.206769762,6.303016497,6.194709998,B1_G7,6.206769762,6.303016497,6.194709998,B1_G7,6.206769762,6.303016497,6.194709998,B1_G7,6.206769762,6.303016497,6.194709998,B1_G7,6.206769762,6.303016497,6.194709998,B1_G7,6.17960305,6.284552854,6.178218472,B1_G7,6.17960305,6.284552854,6.178218472,B1_G7,6.17960305,6.284552854,6.178218472,B1_G7,6.17960305,6.284552854,6.178218472,B1_G7,6.17960305,6.284552854,6.178218472
B1_G3,2.55507338205839,2.44745991987217,2,B1_G3,2.59396554,2.442000203,2,B1_G3,2.59396554,2.442000203,2,B1_G3,2.59396554,2.442000203,2,B1_G3,2.59396554,2.442000203,2,B1_G3,2.59396554,2.442000203,2,B1_G3,2.536913519,2.45316398,2,B1_G3,2.536913519,2.45316398,2,B1_G3,2.536913519,2.45316398,2,B1_G3,2.536913519,2.45316398,2,B1_G3,2.536913519,2.45316398,2
B2_G255,201.032755597457,201.158528572309,201.626052596607,B2_G255,201.5153388,202.1361877,202.2241271,B2_G255,201.5153388,202.1361877,202.2241271,B2_G255,201.5153388,202.1361877,202.2241271,B2_G255,201.5153388,202.1361877,202.2241271,B2_G255,201.5153388,202.1361877,202.2241271,B2_G255,201.6276774,201.7543507,202.1174004,B2_G255,201.6276774,201.7543507,202.1174004,B2_G255,201.6276774,201.7543507,202.1174004,B2_G255,201.6276774,201.7543507,202.1174004,B2_G255,201.6276774,201.7543507,202.1174004
B2_G191,151.001177462903,151.448652003441,151.641117217126,B2_G191,151.3005624,151.7551857,151.4424097,B2_G191,151.3005624,151.7551857,151.4424097,B2_G191,151.3005624,151.7551857,151.4424097,B2_G191,151.3005624,151.7551857,151.4424097,B2_G191,151.3005624,151.7551857,151.4424097,B2_G191,151.2310296,151.1650685,151.4827822,B2_G191,151.2310296,151.1650685,151.4827822,B2_G191,151.2310296,151.1650685,151.4827822,B2_G191,151.2310296,151.1650685,151.4827822,B2_G191,151.2310296,151.1650685,151.4827822
B2_G127,100.339762667148,100.208105976216,100.265299563711,B2_G127,100.1263503,100.2439133,100.0484276,B2_G127,100.1263503,100.2439133,100.0484276,B2_G127,100.1263503,100.2439133,100.0484276,B2_G127,100.1263503,100.2439133,100.0484276,B2_G127,100.1263503,100.2439133,100.0484276,B2_G127,100.1993064,100.0193815,100.0667758,B2_G127,100.1993064,100.0193815,100.0667758,B2_G127,100.1993064,100.0193815,100.0667758,B2_G127,100.1993064,100.0193815,100.0667758,B2_G127,100.1993064,100.0193815,100.0667758
B2_G95,75.3516777397891,75.4979878993119,75.2557182854262,B2_G95,75.18697088,75.721154,75.69909385,B2_G95,75.18697088,75.721154,75.69909385,B2_G95,75.18697088,75.721154,75.69909385,B2_G95,75.18697088,75.721154,75.69909385,B2_G95,75.18697088,75.721154,75.69909385,B2_G95,75.5611956,75.53239035,75.41864039,B2_G95,75.5611956,75.53239035,75.41864039,B2_G95,75.5611956,75.53239035,75.41864039,B2_G95,75.5611956,75.53239035,75.41864039,B2_G95,75.5611956,75.53239035,75.41864039
B2_G63,49.4511318048642,49.5411683216436,49.6214948188417,B2_G63,50.25491671,50.02036662,49.95531205,B2_G63,50.25491671,50.02036662,49.95531205,B2_G63,50.25491671,50.02036662,49.95531205,B2_G63,50.25491671,50.02036662,49.95531205,B2_G63,50.25491671,50.02036662,49.95531205,B2_G63,49.85251793,49.86899149,49.94282609,B2_G63,49.85251793,49.86899149,49.94282609,B2_G63,49.85251793,49.86899149,49.94282609,B2_G63,49.85251793,49.86899149,49.94282609,B2_G63,49.85251793,49.86899149,49.94282609
