,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B1_G255,295,244,407,,,,0.2988,0.3158,586,0.0015,0.0015,5.733,0.0005,0.0005,,
B1_G189,432,439,422,,,,0.2988,0.3158,294.2505956,0.0015,0.0015,3.263,0.0005,0.0005,,
B1_G134,447,451,443,,,,0.2988,0.3158,133.4124124,0.0015,0.0015,1.67,0.0005,0.0005,,
B1_G91,452,454,450,,,,0.2988,0.3158,54.78357927,0.0015,0.0015,0.772,0.0005,0.0005,,
B1_G60,453,453,452,,,,0.2988,0.3158,21.01856572,0.0015,0.0015,0.333,0.0005,0.0005,,
B1_G38,450,450,450,,,,0.2988,0.3158,7.351187046,0.0015,0.0015,0.131,0.0005,0.0005,,
B1_G23,459,459,460,,,,0.2988,0.3158,2.946527226,0.002,0.002,0.086,0.0005,0.0005,,
B1_G13,456,459,459,,,,0.2988,0.3158,1.130952271,0.002,0.002,0.049,0.0005,0.0005,,
B1_G6,406,437,432,,,,0.2888,0.3158,0.222987677,0.002,0.002,0.005,0.0005,0.0005,,
B1_G4,245,423,464,,,,0.26,0.25,0.095167622,0.005,0.005,0.005,0.0005,0.0005,,
B2_G255,294,244,402,,,,0.2988,0.3158,440,0.0015,0.0015,4.3,0.0005,0.0005,,
B2_G189,438,444,430,,,,0.2988,0.3158,220.9390138,0.0015,0.0015,2.411,0.0005,0.0005,,
B2_G134,450,453,446,,,,0.2988,0.3158,100.1731424,0.0015,0.0015,1.213,0.0005,0.0005,,
B2_G91,453,455,451,,,,0.2988,0.3158,41.13442812,0.0015,0.0015,0.55,0.0005,0.0005,,
B2_G60,453,454,453,,,,0.2988,0.3158,15.78185822,0.0015,0.0015,0.232,0.0005,0.0005,,
B2_G38,450,451,451,,,,0.2988,0.3158,5.519662629,0.0015,0.0015,0.098,0.0005,0.0005,,
B2_G23,459,461,461,,,,0.2988,0.3158,2.212409521,0.002,0.002,0.073,0.0005,0.0005,,
B2_G13,457,462,460,,,,0.2988,0.3158,0.849179179,0.002,0.002,0.043,0.0005,0.0005,,
B2_G6,399,447,436,,,,0.2888,0.3158,0.16743102,0.002,0.002,0.005,0.0005,0.0005,,
B2_G4,233,448,467,,,,0.26,0.25,0.087956571,0.005,0.005,0.005,0.0005,0.0005,,
B3_G255,289,244,387,,,,0.2988,0.3158,212,0.0015,0.0015,2.121,0.0005,0.0005,,
B3_G189,438,444,430,,,,0.2988,0.3158,109.6890899,0.0015,0.0015,1.207,0.0005,0.0005,,
B3_G134,450,453,446,,,,0.2988,0.3158,53.15569361,0.0015,0.0015,0.618,0.0005,0.0005,,
B3_G91,453,455,451,,,,0.2988,0.3158,24.35501525,0.0015,0.0015,0.286,0.0005,0.0005,,
B3_G60,453,454,453,,,,0.2988,0.3158,10.91788598,0.0015,0.0015,0.123,0.0005,0.0005,,
B3_G38,450,451,451,,,,0.2988,0.3158,4.280405014,0.002,0.002,0.048,0.0005,0.0005,,
B3_G23,459,461,461,,,,0.2988,0.3158,1.724690504,0.002,0.002,0.032,0.0005,0.0005,,
B3_G13,457,462,460,,,,0.2988,0.3158,0.409149968,0.002,0.002,0.005,0.0005,0.0005,,
B3_G6,399,447,436,,,,0.2888,0.3158,0.097305761,0.002,0.002,0.005,0.0005,0.0005,,
B3_G4,233,448,467,,,,0.27,0.26,0.06420953,0.008,0.008,0.005,0.0005,0.0005,,
B4_G255,286,244,380,,,,0.2988,0.3158,106,0.0015,0.0015,1.061,0.0005,0.0005,,
B4_G189,438,444,430,,,,0.2988,0.3158,54.84454495,0.0015,0.0015,0.604,0.0005,0.0005,,
B4_G134,450,453,446,,,,0.2988,0.3158,26.57784681,0.0015,0.0015,0.309,0.0005,0.0005,,
B4_G91,453,455,451,,,,0.2988,0.3158,12.17750763,0.0015,0.0015,0.143,0.0005,0.0005,,
B4_G60,453,454,453,,,,0.2988,0.3158,5.458942988,0.002,0.002,0.062,0.0005,0.0005,,
B4_G38,450,451,451,,,,0.2988,0.3158,2.140202507,0.002,0.002,0.024,0.0005,0.0005,,
B4_G23,459,461,461,,,,0.2988,0.3158,0.862345252,0.002,0.002,0.016,0.0005,0.0005,,
B4_G13,457,462,460,,,,0.2988,0.3158,0.204574984,0.002,0.002,0.009,0.0005,0.0005,,
B4_G6,399,447,436,,,,0.2888,0.3158,0.048652881,0.005,0.005,0.005,0.0005,0.0005,,
B4_G4,233,448,467,,,,0.2888,0.3158,0.032104765,0.008,0.008,0.005,0.0005,0.0005,,
B5_G255,285,244,377,,,,0.2988,0.3158,53,0.0015,0.0015,0.535,0.0005,0.0005,,
B5_G189,438,444,430,,,,0.2988,0.3158,27.42227248,0.0015,0.0015,0.305,0.0005,0.0005,,
B5_G134,450,453,446,,,,0.2988,0.3158,13.2889234,0.0015,0.0015,0.156,0.0005,0.0005,,
B5_G91,453,455,451,,,,0.2988,0.3158,6.088753813,0.002,0.002,0.072,0.0005,0.0005,,
B5_G60,453,454,453,,,,0.2988,0.3158,2.729471494,0.002,0.002,0.031,0.0005,0.0005,,
B5_G38,450,451,451,,,,0.2988,0.3158,1.070101253,0.002,0.002,0.012,0.0005,0.0005,,
B5_G23,459,461,461,,,,0.2988,0.3158,0.382305515,0.002,0.002,0.008,0.0005,0.0005,,
B5_G13,457,462,460,,,,0.2988,0.3158,0.118700452,0.002,0.002,0.005,0.0005,0.0005,,
B5_G6,399,447,436,,,,0.2888,0.3158,0.029342561,0.008,0.008,0.003,0.0005,0.0005,,
B5_G4,233,448,467,,,,0.2888,0.3158,0.016052383,0.008,0.008,0.003,0.0005,0.0005,,
B6_G255,284,244,376,,,,0.2988,0.3158,26.5,0.0015,0.0015,0.201,0.0005,0.0005,,
B6_G189,438,444,430,,,,0.2988,0.3158,13.71113624,0.0015,0.0015,0.114,0.0005,0.0005,,
