,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Gray,R,G,B,X,Y,Lv,X,Y,Lv,X,Y,Lv,X,Y,Applied,Loop
Band6_7,409,484,461,,,,0.2927,0.329,0.074863109,0.005,0.005,0.003743155,0.0005,0.0005,,
Band6_4,442,502,487,,,,0.2927,0.329,0.038088308,0.012,0.012,0.005713246,0.0005,0.0005,,
Band7_255,401,308,460,,,,0.3127,0.329,41.8896898,0.0015,0.0015,0.418896898,0.0005,0.0005,,
Band7_191,453,458,456,,,,0.3127,0.329,21.99008717,0.0015,0.0015,0.219900872,0.0005,0.0005,,
Band7_127,438,442,443,,,,0.3127,0.329,9.038303769,0.0015,0.0015,0.090383038,0.0005,0.0005,,
Band7_63,403,409,408,,,,0.3127,0.329,1.987979716,0.002,0.002,0.019879797,0.0005,0.0005,,
Band7_31,407,427,418,,,,0.3127,0.329,0.460919607,0.002,0.002,0.013827588,0.0005,0.0005,,
Band7_15,401,463,438,,,,0.2927,0.329,0.10918536,0.002,0.002,0.003275561,0.0005,0.0005,,
Band7_7,431,493,471,,,,0.2927,0.329,0.037782872,0.008,0.008,0.003778287,0.0005,0.0005,,
Band7_4,461,504,489,,,,0.2927,0.329,0.019222895,0.015,0.015,0.005766869,0.0005,0.0005,,
Band8_255,398,308,459,,,,0.3127,0.329,14.49755472,0.0015,0.0015,0.144975547,0.0005,0.0005,,
Band8_191,454,459,458,,,,0.3127,0.329,7.61052406,0.0015,0.0015,0.076105241,0.0005,0.0005,,
Band8_127,440,447,444,,,,0.3127,0.329,3.12805619,0.002,0.002,0.031280562,0.0005,0.0005,,
Band8_63,403,421,414,,,,0.3127,0.329,0.688017621,0.002,0.002,0.013760352,0.0005,0.0005,,
Band8_31,402,454,434,,,,0.2927,0.329,0.159519138,0.002,0.002,0.004785574,0.0005,0.0005,,
Band8_15,426,485,454,,,,0.2927,0.329,0.037787836,0.008,0.008,0.003778784,0.0005,0.0005,,
Band8_7,457,502,484,,,,0.2927,0.329,0.013076231,0.01,0.01,0.002615246,0.0005,0.0005,,
Band8_4,461,504,489,,,,0.2927,0.329,0.00665283,0.015,0.015,0.001995849,0.0005,0.0005,,
Band9_255,387,308,453,,,,0.3127,0.329,3.728750254,0.002,0.002,0.037287503,0.0005,0.0005,,
Band9_191,457,466,463,,,,0.3127,0.329,1.957415858,0.002,0.002,0.019574159,0.0005,0.0005,,
Band9_127,445,459,451,,,,0.3127,0.329,0.80453156,0.002,0.002,0.016090631,0.0005,0.0005,,
Band9_63,402,450,434,,,,0.2927,0.329,0.176957144,0.002,0.002,0.005308714,0.0005,0.0005,,
Band9_31,422,483,451,,,,0.2927,0.329,0.041028093,0.008,0.008,0.002051405,0.0005,0.0005,,
Band9_15,426,485,454,,,,0.2927,0.329,0.009718977,0.01,0.01,0.001943795,0.0005,0.0005,,
Band9_7,457,502,484,,,,0.2927,0.329,0.003363188,0.01,0.01,0.000672638,0.0005,0.0005,,
Band9_4,461,504,489,,,,0.2927,0.329,0.001711098,0.015,0.015,5.13E-04,0.0005,0.0005,,
